,0,1,2
0,[20 20 20],0.0,60
1,[19 20 20],0.019261965597904277,59
2,[18 19 20],0.034398136310980036,57
3,[18 20 20],0.03937521639344458,58
4,[17 19 20],0.053856421827163777,56
5,[17 20 20],0.06041342717025001,57
6,[16 18 20],0.07272763047821197,54
7,[16 19 20],0.0752365164064579,55
8,[16 20 20],0.08246081268852214,56
9,[15 18 20],0.09400985369077362,53
10,[15 19 20],0.09807218281516712,54
11,[15 20 20],0.1056143813083879,55
12,[14 17 20],0.11585388875504214,51
13,[14 18 20],0.11730959363818189,52
14,[14 19 20],0.1223010907703302,53
15,[14 20 20],0.12998685945257232,54
16,[13 17 20],0.13967582519788335,50
17,[13 18 20],0.1424187665263634,51
18,[13 19 20],0.1479859177087607,52
19,[13 20 20],0.15571055163200526,53
20,[12 16 20],0.16496156855726182,48
21,[12 17 20],0.16571427760189658,49
22,[12 18 20],0.1693310795680762,50
23,[12 19 20],0.17525184186743956,51
24,[12 20 20],0.18294253486668496,52
25,[11 16 20],0.19212139806255138,47
26,[11 17 20],0.19394168953785193,48
27,[11 18 20],0.19815096609073032,49
28,[11 19 20],0.2042723316071513,50
29,[11 20 20],0.2118718059204083,51
30,[10 15 20],0.22174217674760405,45
31,[10 16 20],0.2218805079306208,46
32,[10 17 20],0.22446575037594138,47
33,[10 18 20],0.22906409271378467,48
34,[10 19 20],0.23527116722913574,49
35,[10 20 20],0.24272937257234012,50
36,[ 9 15 20],0.253359836272233,44
37,[ 9 16 20],0.2543849350436254,45
38,[ 9 17 20],0.2575038505821079,46
39,[ 9 18 20],0.26233462542574565,47
40,[ 9 19 20],0.26853373646797496,48
41,[ 9 20 20],0.2758029402886647,49
42,[ 8 15 20],0.28825123355073096,43
43,[ 8 14 20],0.28875468561892054,42
44,[ 8 16 20],0.28991776095871447,44
45,[ 8 17 20],0.29338499256827394,45
46,[ 8 18 20],0.2983193198695182,46
47,[ 8 19 20],0.30442776204130767,47
48,[ 8 20 20],0.3114590740195503,48
49,[ 7 14 20],0.32659762719523544,41
50,[ 7 15 20],0.32681386841022164,42
51,[ 7 16 20],0.3289162276112293,43
52,[ 7 17 20],0.33257471502490155,44
53,[ 7 18 20],0.337498885031089,45
54,[ 7 19 20],0.34343781366619547,46
55,[ 7 20 20],0.35017814038249057,47
56,[ 6 14 20],0.3689500131494636,40
57,[ 6 15 20],0.36966414448336254,41
58,[ 6 13 20],0.3702127972828092,39
59,[ 6 16 20],0.37202129674835493,42
60,[ 6 17 20],0.3757291840546215,43
61,[ 6 18 20],0.3805352374281205,44
62,[ 6 19 20],0.3862237735077092,45
63,[ 6 20 20],0.392612485624932,46
64,[ 5 14 20],0.41672996860087647,39
65,[ 5 13 20],0.4174565026667094,38
66,[ 5 15 20],0.4177376677004119,40
67,[ 5 16 20],0.4201799678743192,41
68,[ 5 17 20],0.4237994749319756,42
69,[ 5 18 20],0.42837670615644874,43
70,[ 5 19 20],0.43372579181676335,44
71,[ 5 20 20],0.43969028337251065,45
72,[ 4 14 20],0.4713991941302681,38
73,[ 4 13 20],0.4718208106154647,37
74,[ 4 15 20],0.47249939204937863,39
75,[ 4 12 20],0.47407765693873805,36
76,[ 4 16 20],0.4748551273871764,40
77,[ 4 17 20],0.4782408092923036,41
78,[ 4 18 20],0.48246593444273506,42
79,[ 4 19 20],0.48737014466926815,43
80,[ 4 20 20],0.4928188537185251,44
81,[ 3 14 20],0.535446576596433,37
82,[ 3 13 20],0.5358064045233435,36
83,[ 3 15 20],0.5364226865251919,38
84,[ 3 12 20],0.5377820148153456,35
85,[ 3 16 20],0.5385002077053399,39
86,[ 3 17 20],0.5414824766658682,40
87,[ 3 18 20],0.5452045894597894,41
88,[ 3 19 20],0.5495283233711609,42
89,[ 3 20 20],0.5543378761260379,43
90,[ 2 14 20],0.6137144898316053,36
91,[ 2 15 20],0.6143004911964415,37
92,[ 2 13 20],0.6143013851241833,35
93,[ 2 16 20],0.6158550668094216,38
94,[ 2 12 20],0.6163074756615551,34
95,[ 2 17 20],0.618208152740786,39
96,[ 2 11 20],0.6200310241528516,33
97,[ 2 18 20],0.6212178481743068,40
98,[ 2 19 20],0.6247655248515973,41
99,[ 2 20 20],0.6287518592514624,42
100,[19 19 20],1.0132047893674994,58
101,[18 18 20],1.0272372239456964,56
