,0,1,2
0,[10 10 10],0.0,30
1,[ 9 10 10],0.03937521639344458,29
2,[ 8  9 10],0.07272763047821197,27
3,[ 8 10 10],0.08246081268852214,28
4,[ 7  9 10],0.11730959363818189,26
5,[ 7 10 10],0.12998685945257232,27
6,[ 6  8 10],0.16496156855726182,24
7,[ 6  9 10],0.1693310795680762,25
8,[ 6 10 10],0.18294253486668496,26
9,[ 5  8 10],0.2218805079306208,23
10,[ 5  9 10],0.22906409271378467,24
11,[ 5 10 10],0.24272937257234012,25
12,[ 4  7 10],0.28875468561892054,21
13,[ 4  8 10],0.28991776095871447,22
14,[ 4  9 10],0.2983193198695182,23
15,[ 4 10 10],0.3114590740195503,24
16,[ 3  7 10],0.3689500131494636,20
17,[ 3  8 10],0.37202129674835493,21
18,[ 3  9 10],0.3805352374281205,22
19,[ 3 10 10],0.392612485624932,23
20,[ 2  7 10],0.4713991941302681,19
21,[ 2  6 10],0.47407765693873805,18
22,[ 2  8 10],0.4748551273871764,20
23,[ 2  9 10],0.48246593444273506,21
24,[ 2 10 10],0.4928188537185251,22
25,[ 1  7 10],0.6137144898316053,18
26,[ 1  8 10],0.6158550668094216,19
27,[ 1  6 10],0.6163074756615551,17
28,[ 1  9 10],0.6212178481743068,20
29,[ 1 10 10],0.6287518592514624,21
30,[ 9  9 10],1.0272372239456964,28
31,[ 8  8 10],1.0581660788268465,26
32,[ 7  8 10],1.0806332352639834,25
33,[ 7  7 10],1.0937215325564662,24
34,[ 6  7 10],1.1182662823353664,23
35,[ 6  6 10],1.1352193138249524,22
36,[ 5  7 10],1.1525842630477068,22
37,[ 5  6 10],1.1632632293138079,21
38,[ 5  5 10],1.1845919112825145,20
39,[ 4  6 10],1.2024636198105965,20
40,[ 4  5 10],1.2178869637247876,19
41,[ 4  4 10],1.2448450151581878,18
42,[ 3  6 10],1.2540924144076215,19
43,[ 3  5 10],1.2649793282623425,18
44,[ 3  4 10],1.2861234782436513,17
45,[ 3  3 10],1.3210526397488647,16
46,[ 2  5 10],1.3300872711617164,17
47,[ 2  4 10],1.3465716150309777,16
48,[ 2  3 10],1.3754507263429039,15
49,[ 2  2 10],1.422971722449121,14
50,[ 1  5 10],1.4253818672351035,16
51,[ 1  4 10],1.4388070239448651,15
52,[ 1  3 10],1.462699349467509,14
53,[ 1  2 10],1.503264685501251,13
54,[ 1  1 10],1.5747568090591817,12
