,0,1,2
0,[90 90],0.0,180
1,[89 90],0.003649635018166687,179
2,[88 90],0.00734038617780879,178
3,[87 90],0.011073064571865405,177
4,[86 90],0.014848504986858971,176
5,[85 90],0.018667566844853527,175
6,[84 90],0.022531135193706878,174
7,[83 90],0.026440121748681773,173
8,[82 90],0.030395465988726222,172
9,[81 90],0.03439813631097985,171
10,[80 90],0.03844913124734883,170
11,[79 90],0.042549480747293464,169
12,[78 90],0.046700247531307755,168
13,[77 90],0.050902528519934015,167
14,[76 90],0.055157456343557426,166
15,[75 90],0.05946620093866117,165
16,[74 90],0.0638299712367086,164
17,[73 90],0.06825001695234728,163
18,[72 90],0.07272763047821194,162
19,[71 90],0.07726414889425137,161
20,[70 90],0.08186095610021153,160
21,[69 90],0.0865194850806944,159
22,[68 90],0.09124122031308343,158
23,[67 90],0.09602770032958993,157
24,[66 90],0.10088052044574822,156
25,[65 90],0.10580133566887709,155
26,[64 90],0.11079186380135575,154
27,[63 90],0.11585388875504224,153
28,[62 90],0.1209892640948201,152
29,[61 90],0.12619991683111115,151
30,[60 90],0.13148785148327466,150
31,[59 90],0.13685515443814977,149
32,[58 90],0.14230399863062768,148
33,[57 90],0.1478366485761132,147
34,[56 90],0.15345546578808475,146
35,[55 90],0.15916291461776952,145
36,[54 90],0.16496156855726188,144
37,[53 90],0.1708541170523239,143
38,[52 90],0.17684337287670834,142
39,[51 90],0.18293228012624388,141
40,[50 90],0.18912392289825955,140
41,[49 90],0.19542153473035892,139
42,[48 90],0.20182850888226295,138
43,[47 90],0.2083484095556683,137
44,[46 90],0.2149849841600682,136
45,[45 90],0.22174217674760408,135
46,[44 90],0.22862414275763454,134
47,[43 90],0.23563526523233116,133
48,[42 90],0.24278017268880978,132
49,[41 90],0.2500637588618158,131
50,[40 90],0.25749120456470337,130
51,[39 90],0.26506800195646224,129
52,[38 90],0.2727999815502658,128
53,[37 90],0.28069334235612514,127
54,[36 90],0.2887546856189205,126
55,[35 90],0.2969910526960898,125
56,[34 90],0.30540996772003387,124
57,[33 90],0.3140194858133551,123
58,[32 90],0.3228282477760993,122
59,[31 90],0.33184554235070046,121
60,[30 90],0.34108137740210875,120
61,[29 90],0.3505465616404865,119
62,[28 90],0.3602527988790204,118
63,[27 90],0.3702127972828092,117
64,[26 90],0.380440396657551,116
65,[25 90],0.39095071759151395,115
66,[24 90],0.40176033725990956,114
67,[23 90],0.41288749800980723,113
68,[22 90],0.42435235658301346,112
69,[21 90],0.43617728417179913,111
70,[20 90],0.4483872306828033,110
71,[19 90],0.46101017097040736,109
72,[18 90],0.474077656938738,108
73,[17 90],0.48762550814024797,107
74,[16 90],0.501694686134205,106
75,[15 90],0.5163324165210947,105
76,[14 90],0.5315936507126902,104
77,[13 90],0.5475430030140425,103
78,[12 90],0.5642573677654057,102
79,[11 90],0.5818295347583112,101
80,[10 90],0.6003733141187335,100
81,[ 9 90],0.6200310241528516,99
82,[ 8 90],0.6409848336584402,98
83,[ 7 90],0.6634747120746537,97
84,[ 6 90],0.6878284244381382,96
85,[ 5 90],0.7145152596222576,95
86,[ 4 90],0.744251576083018,94
87,[ 3 90],0.7782368311699881,93
88,[ 2 90],0.8187974534077228,92
