,0,1,2
0,[5 5 5 5],0.0,20
1,[4 5 5 5],0.08668735868277196,19
2,[3 4 4 5],0.16496156855726188,16
3,[3 5 5 5],0.19035397805317672,18
4,[2 4 4 5],0.29043222608198416,15
5,[2 4 5 5],0.3114590740195502,16
6,[2 5 5 5],0.3201713608078256,17
7,[4 4 5 5],1.06990901233551,18
8,[3 4 5 5],1.1267952723007344,17
9,[3 3 4 5],1.1365715521906377,15
10,[3 3 5 5],1.158568349543707,16
11,[2 3 4 5],1.206326477331256,14
12,[2 3 5 5],1.227934125874586,15
13,[2 2 3 5],1.2448450151581878,12
14,[2 2 4 5],1.2532539641693985,13
15,[2 2 5 5],1.2775637642273654,14
16,[4 4 4 5],2.049599447934042,17
17,[3 3 3 5],2.1168569453390598,14
18,[2 3 3 5],2.163783802456369,13
19,[2 2 2 5],2.2158606944376285,11
