,0,1,2
0,[75 75],0.0,150
1,[74 75],0.004384470337631241,149
2,[73 75],0.008828380059902705,148
3,[72 75],0.013333142938475448,147
4,[71 75],0.01790022265277146,146
5,[70 75],0.022531135193706878,145
6,[69 75],0.027227451417117927,144
7,[68 75],0.03199079975846889,143
8,[67 75],0.036822869121519976,142
9,[66 75],0.0417254119548298,141
10,[65 75],0.046700247531307755,140
11,[64 75],0.051749265447517505,139
12,[63 75],0.05687442936109503,138
13,[62 75],0.062077780986497966,137
14,[61 75],0.06736144437138002,136
15,[60 75],0.07272763047821194,135
16,[59 75],0.07817864209838397,134
17,[58 75],0.08371687912896913,133
18,[57 75],0.08934484424564063,132
19,[56 75],0.09506514900899221,131
20,[55 75],0.10088052044574822,130
21,[54 75],0.10679380815117075,129
22,[53 75],0.11280799196444935,128
23,[52 75],0.11892619027510376,127
24,[51 75],0.12515166902556457,126
25,[50 75],0.13148785148327466,125
26,[49 75],0.137938328865043,124
27,[48 75],0.14450687190719563,123
28,[47 75],0.15119744348755884,122
29,[46 75],0.1580142124197755,121
30,[45 75],0.16496156855726188,120
31,[44 75],0.1720441393636985,119
32,[43 75],0.17926680812985654,118
33,[42 75],0.1866347340434308,117
34,[41 75],0.19415337435020336,116
35,[40 75],0.20182850888226295,115
36,[39 75],0.20966626727339951,114
37,[38 75],0.2176731592346789,113
38,[37 75],0.22585610832650216,112
39,[36 75],0.2342224897395363,111
40,[35 75],0.24278017268880978,110
41,[34 75],0.2515375681368215,109
42,[33 75],0.2605036826976621,108
43,[32 75],0.26968817974120524,107
44,[31 75],0.27910144892265837,106
45,[30 75],0.2887546856189205,105
46,[29 75],0.2986599820734714,104
47,[28 75],0.30883043245481073,103
48,[27 75],0.3192802545450634,102
49,[26 75],0.33002493142958383,101
50,[25 75],0.34108137740210875,100
51,[24 75],0.35246813339812183,99
52,[23 75],0.3642055987123559,98
53,[22 75],0.37631630767342944,97
54,[21 75],0.3888252625242093,96
55,[20 75],0.40176033725990956,95
56,[19 75],0.41515277200588246,94
57,[18 75],0.4290377842742996,93
58,[17 75],0.4434553330458737,92
59,[16 75],0.45845108552549463,91
60,[15 75],0.474077656938738,90
61,[14 75],0.49039622468636285,89
62,[13 75],0.5074786660174524,88
63,[12 75],0.5254104444123815,87
64,[11 75],0.5442945945528536,86
65,[10 75],0.5642573677654057,85
66,[ 9 75],0.5854564757927276,84
67,[ 8 75],0.6080935713362057,83
68,[ 7 75],0.6324339891331597,82
69,[ 6 75],0.6588397167813399,81
70,[ 5 75],0.6878284244381382,80
71,[ 4 75],0.7201893697502594,79
72,[ 3 75],0.7572424729690639,78
73,[ 2 75],0.8015447327575568,77
