,0,1,2
0,[20 20],0.0,40
1,[19 20],0.016752528532542346,39
2,[18 20],0.03439813631097985,38
3,[17 20],0.05302333935002613,37
4,[16 20],0.07272763047821194,36
5,[15 20],0.09362626888013026,35
6,[14 20],0.11585388875504224,34
7,[13 20],0.13956924455541447,33
8,[12 20],0.16496156855726188,32
9,[11 20],0.19225927447320715,31
10,[10 20],0.22174217674760408,30
11,[ 9 20],0.25375916361147915,29
12,[ 8 20],0.2887546856189205,28
13,[ 7 20],0.32731022075157423,27
14,[ 6 20],0.3702127972828092,26
15,[ 5 20],0.4185763726874626,25
16,[ 4 20],0.474077656938738,24
17,[ 3 20],0.5394778305256395,23
18,[ 2 20],0.6200310241528516,22
