,0,1,2
0,[12 12 12],0.0,36
1,[11 12 12],0.032571862536716525,35
2,[10 11 12],0.05946620093866114,33
3,[10 12 12],0.0676459226320625,34
4,[ 9 11 12],0.09490697551314073,32
5,[ 9 12 12],0.1056143813083879,33
6,[ 8 10 12],0.13148785148327477,30
7,[ 8 11 12],0.13535127490128487,31
8,[ 8 12 12],0.14697673462071068,32
9,[ 7 10 12],0.1741691662396811,29
10,[ 7 11 12],0.18050445308654295,30
11,[ 7 12 12],0.1923866113729807,31
12,[ 6  9 12],0.22174217674760405,27
13,[ 6 10 12],0.22335928415591444,28
14,[ 6 11 12],0.23097309987366516,29
15,[ 6 12 12],0.24272937257234012,30
16,[ 5  9 12],0.2762363746817964,26
17,[ 5 10 12],0.27977206645520486,27
18,[ 5 11 12],0.28792221920887745,28
19,[ 5 12 12],0.2992599391409842,29
20,[ 4  9 12],0.34058262899819064,25
21,[ 4  8 12],0.3410813774021089,24
22,[ 4 10 12],0.3451024777059367,26
23,[ 4 11 12],0.35323431322460985,27
24,[ 4 12 12],0.3638713143894144,28
25,[ 3  8 12],0.4170012664570481,23
26,[ 3  9 12],0.4177376677004119,24
27,[ 3 10 12],0.4224764528018591,25
28,[ 3 11 12],0.4300822650322995,26
29,[ 3 12 12],0.43969028337251065,27
30,[ 2  8 12],0.5128934482691448,22
31,[ 2  9 12],0.5138745850112242,23
32,[ 2  7 12],0.5163324165210947,21
33,[ 2 10 12],0.5180668624785334,24
34,[ 2 11 12],0.5245643204547682,25
35,[ 2 12 12],0.5326899300410199,26
36,[11 11 12],1.0224624202972603,34
37,[10 10 12],1.0473948216562643,32
38,[ 9 10 12],1.065095926559467,31
39,[ 9  9 12],1.0752942541416985,30
40,[ 8  9 12],1.094022811022496,29
41,[ 8  8 12],1.106814209350671,28
42,[ 7  9 12],1.119480329914537,28
43,[ 7  8 12],1.127379994668641,27
44,[ 7  7 12],1.1428367326384214,26
45,[ 6  8 12],1.1550546701072861,26
46,[ 6  7 12],1.1660406536917203,25
47,[ 6  6 12],1.1845919112825145,24
48,[ 5  8 12],1.1896561332219127,25
49,[ 5  7 12],1.1971271211682963,24
50,[ 5  6 12],1.2114453737017865,23
51,[ 5  5 12],1.2338689019772455,22
52,[ 4  7 12],1.2367434136462607,23
53,[ 4  6 12],1.2475683576021142,22
54,[ 4  5 12],1.2658434712770337,21
55,[ 3  7 12],1.2866500007136126,22
56,[ 4  4 12],1.2934218996126887,20
57,[ 3  6 12],1.2948336758410273,21
58,[ 3  5 12],1.3095716558184896,20
59,[ 3  4 12],1.3329258171088059,19
60,[ 2  6 12],1.3573913630390613,20
61,[ 3  3 12],1.3678522264219934,18
62,[ 2  5 12],1.3694118082944313,19
63,[ 2  4 12],1.3890732321982195,18
64,[ 2  3 12],1.41945942029334,17
65,[ 2  2 12],1.4659258262890682,16
