,0,1
0,[30 30 30 30  0  0  0  0  0  0],5.918752069483993
1,[30 27 27 27  0  0  0  0  0  0],5.918963050589312
2,[30 24 24 24  0  0  0  0  0  0],5.9197238820314
3,[30 21 21 21  0  0  0  0  0  0],5.921303847001605
4,[30 18 18 18  0  0  0  0  0  0],5.924133496577069
5,[30 15 15 15  0  0  0  0  0  0],5.928933765622356
6,[30 12 12 12  0  0  0  0  0  0],5.9369875357956525
7,[30  9  9  9  0  0  0  0  0  0],5.9507790820163695
8,[30  6  6  6  0  0  0  0  0  0],5.975781754904475
9,[30  3  3  3  0  0  0  0  0  0],8.819789560224402
